Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
2774863,-0.68447761065,-1.33921560994,-0.730247237391,-0.104630058703,1.30881232017,-1.03382577683,1.12047958035,1.40396137825,tt1441395,-0.347789414019,-0.361668009303,-0.149215894173
7661161,-0.54432391296,-0.215808051222,-0.873394809392,-0.941438081655,-0.877253403066,-0.988975493099,-0.6915862424,-0.802599990266,tt2403021,-1.6426675373,-1.46757770249,-0.154855404987
1961145,-0.686346260329,-1.33921560994,-0.853785547153,0.825156633466,1.36346396325,-0.55916027406,1.15601028276,1.13649939418,tt1714915,0.677322433577,0.744241683883,-0.153224425735
7443746,-0.558807317152,-0.316007813946,-0.790769881026,-0.290587397137,-0.986556689228,0.889503890284,-0.584994135179,-1.07006197433,tt1748227,-0.617555689702,-0.140486070666,-0.153569424577
1265826,-0.662857261231,-1.08249942953,-0.940980215954,-1.22037408931,0.161127815472,0.399140788215,-0.336279218331,-0.267676022142,tt1731697,-1.69662079243,-1.90994157976,-0.15511554077
5364410,-0.565115102249,-0.749719195664,-0.6505735537,-2.15016078147,-1.97028626468,0.513509011716,-1.79303801701,-2.27364090261,tt1433822,-2.02034032325,-2.35230545704,-0.152397981563
42919550,-0.00498424394009,-1.3406783802,-0.586935639852,0.0813272797306,0.0518245293102,1.11226029946,0.623049746656,0.467844434029,tt0455407,-0.293836158882,-0.140486070666,-0.103751203524
8898316,-0.529591453878,-0.373055854037,-0.863511727674,-0.0116513894862,-1.36911819079,0.97023440099,-0.833709052028,-1.00319647831,tt0844479,-0.779415455111,-0.58284994794,-0.141364951874
2559482,-0.687677336757,-1.33921560994,-0.902235156437,1.47600731798,1.5274188925,-0.11215244626,1.58237871164,1.73828885832,tt1139797,1.54057451576,1.85015137707,-0.142332002487
135839664,0.26914439946,-0.786288452133,-0.99070276282,-0.104630058703,0.762295889362,0.181616912145,1.04941817554,0.869037410123,tt1179904,-0.293836158882,-0.361668009303,-0.0831508345649
66583911,-0.0233356896545,-0.428641123869,0.167548862856,0.918135302682,1.58207053558,-1.5839892572,1.15601028276,1.33709588223,tt0408236,1.05499521953,1.18660556116,0.311120165244
21157935,-0.306546213645,-0.0219909919385,-0.527610658779,-0.19760872792,-1.09585997539,0.125554057487,-1.15348537369,-1.27065846237,tt0455760,-0.509649179428,-0.58284994794,-0.0981535695791
26183087,-0.216408541019,-1.3406783802,-0.643470585188,-1.22037408931,-1.20516326155,1.45312245577,-1.50879239776,-1.67185143847,tt0800069,-1.15708824107,-1.02521382521,-0.0357611945894
9289076,-0.506006631571,-0.193866497341,-0.747656053779,-1.03441675087,-0.986556689228,1.79473211682,-1.33113888572,-1.27065846237,tt0454970,-1.80452730271,-1.46757770249,-0.135765931278
35163761,-0.689545364964,-1.3406783802,-0.875275727603,0.732177964249,0.926250818605,-0.735571390049,1.12047958035,1.06963389817,tt0435625,0.731275688714,0.0806958679715,-0.101711994131
22833658,-0.319120689006,-0.0570974781484,-0.816953180044,0.453241956598,-0.0574787568517,-0.903012449292,-0.0165028966685,-0.200810526126,tt0395584,0.893135454123,0.523059745246,-0.127878104055
21867983,-0.432423301941,-0.0629485591833,-0.966179306517,-0.104630058703,-0.00282711377076,-0.386486681716,-0.0165028966685,-0.133945030111,tt0416315,-0.671508944838,-0.804031886577,-0.132614350216
18776425,-0.509571200564,-0.898190376926,-0.854475190777,1.47600731798,1.19950903401,-0.904507458749,1.3691944972,1.40396137825,tt0365748,1.70243428117,1.18660556116,-0.0213979831521
18145733,-0.49694028778,-0.906966998479,-0.805981896577,-0.383566066354,-1.25981490463,-0.505339933589,-1.2245467785,-1.53812044644,tt0251736,0.191743137347,-0.361668009303,-0.122756368834
22142271,-0.402062726146,-0.160954166519,-0.657927125989,-0.290587397137,-1.20516326155,-0.336403864889,-0.442871325552,-0.936330982297,tt0295700,-0.401742669155,-0.804031886577,-0.119244535766
67169239,-0.107452425338,-0.420595887446,-0.771534674332,1.10409264112,1.03555410477,-1.05849343287,1.19154098517,1.13649939418,tt0289043,1.27080824008,0.523059745246,-0.0256020325464
147605331,0.147373881397,-0.114876903369,-0.512217257861,1.10409264112,1.09020574785,-0.840222052075,1.04941817554,1.00276840215,tt0230600,0.839182198987,0.0806958679715,-0.0637116473995
63047144,0.184688340083,-0.00224359344544,-0.310765602679,0.639199295032,-0.276085329175,0.0627636602712,0.125619912959,-0.067079534095,tt0134847,0.839182198987,0.301877806609,-0.0817777724532
19271663,-0.689248650941,-1.33994699507,-0.695274360241,0.267284618164,0.434386030877,1.20121336218,0.125619912959,0.0666514579361,tt0219699,-0.347789414019,-0.361668009303,-0.144834630743
